S.N,District_Name,Zone,Ecological_Belt,Development_Region,Year_BS,Year_AD,condition,type,Male,Female,Age,Married,Unmarried,Education,Employment,lat,long,Age_Group,encoded_Conditions,encoded_Types,encoded_Education,encoded_Employment
2023,Mugu,Karnali,Mountain,Mid-Western,2074,2017,Minor,Depression,32,24,44,39,17.0,PhD/Doctorate,no,29.6346044,82.35940378,old,1,2,2,1
2024,Mugu,Karnali,Mountain,Mid-Western,2074,2017,Minor,Psychosis,54,43,27,54,43.0,"College degree, bachelor, master",Unknown,29.6346044,82.35940378,Middle-age,1,6,0,0
2025,Mugu,Karnali,Mountain,Mid-Western,2074,2017,Severe,Anxiety,50,46,18,5,91.0,Up to 12 years of school,no,29.6346044,82.35940378,young,3,1,5,1
2026,Mugu,Karnali,Mountain,Mid-Western,2074,2017,Major,Mental retardation,22,57,43,33,46.0,PhD/Doctorate,no,29.6346044,82.35940378,old,0,5,2,1
2027,Mugu,Karnali,Mountain,Mid-Western,2074,2017,Normal,Hysteria,34,19,21,18,35.0,"College degree, bachelor, master",no,29.6346044,82.35940378,Middle-age,2,4,0,1
2028,Mugu,Karnali,Mountain,Mid-Western,2074,2017,Severe,Alcoholism,38,53,49,27,64.0,Up to 9 years of school,no,29.6346044,82.35940378,old,3,0,6,1
2029,Mugu,Karnali,Mountain,Mid-Western,2074,2017,Minor,Epilepsy,53,39,26,24,68.0,"College degree, bachelor, master",Unknown,29.6346044,82.35940378,Middle-age,1,3,0,0
2030,Humla,Karnali,Mountain,Mid-Western,2074,2017,Normal,Depression,25,36,56,38,23.0,"College degree, bachelor, master",no,30.03513341,81.89063467,old,2,2,0,1
2031,Humla,Karnali,Mountain,Mid-Western,2074,2017,Severe,Psychosis,26,60,19,38,48.0,"Some College, short continuing education or equivalent",no,30.03513341,81.89063467,young,3,6,3,1
2032,Humla,Karnali,Mountain,Mid-Western,2074,2017,Normal,Anxiety,46,30,59,25,51.0,Up to 9 years of school,no,30.03513341,81.89063467,old,2,1,6,1
2033,Humla,Karnali,Mountain,Mid-Western,2074,2017,Major,Mental retardation,20,56,54,45,31.0,"College degree, bachelor, master",no,30.03513341,81.89063467,old,0,5,0,1
2034,Humla,Karnali,Mountain,Mid-Western,2074,2017,Normal,Hysteria,53,29,40,41,41.0,PhD/Doctorate,no,30.03513341,81.89063467,old,2,4,2,1
2035,Humla,Karnali,Mountain,Mid-Western,2074,2017,Major,Alcoholism,31,21,53,21,31.0,"College degree, bachelor, master",yes,30.03513341,81.89063467,old,0,0,0,3
2036,Humla,Karnali,Mountain,Mid-Western,2074,2017,Minor,Epilepsy,28,44,36,34,38.0,Unknown,no,30.03513341,81.89063467,Middle-age,1,3,4,1
2037,Bajura,Seti,Mountain,Far-Western,2074,2017,Severe,Depression,46,29,49,42,33.0,Unknown,yes,29.56558569,81.5497582,old,3,2,4,3
2038,Bajura,Seti,Mountain,Far-Western,2074,2017,Severe,Psychosis,32,28,21,59,1.0,Unknown,no,29.56558569,81.5497582,Middle-age,3,6,4,1
2039,Bajura,Seti,Mountain,Far-Western,2074,2017,Severe,Anxiety,58,31,26,53,36.0,Unknown,no,29.56558569,81.5497582,Middle-age,3,1,4,1
2040,Bajura,Seti,Mountain,Far-Western,2074,2017,Minor,Mental retardation,48,50,35,29,69.0,"College degree, bachelor, master",no,29.56558569,81.5497582,Middle-age,1,5,0,1
2041,Bajura,Seti,Mountain,Far-Western,2074,2017,Minor,Hysteria,26,37,33,56,7.0,"College degree, bachelor, master",no,29.56558569,81.5497582,Middle-age,1,4,0,1
2042,Bajura,Seti,Mountain,Far-Western,2074,2017,Severe,Alcoholism,19,20,39,25,14.0,"College degree, bachelor, master",no,29.56558569,81.5497582,Middle-age,3,0,0,1
2043,Bajura,Seti,Mountain,Far-Western,2074,2017,Major,Epilepsy,52,25,33,31,46.0,"College degree, bachelor, master",no,29.56558569,81.5497582,Middle-age,0,3,0,1
2044,Bajhang,Seti,Mountain,Far-Western,2074,2017,Major,Depression,26,40,56,18,48.0,Up to 9 years of school,yes,29.70710581,81.14117632,old,0,2,6,3
2045,Bajhang,Seti,Mountain,Far-Western,2074,2017,Major,Psychosis,48,34,33,38,44.0,"College degree, bachelor, master",no,29.70710581,81.14117632,Middle-age,0,6,0,1
2046,Bajhang,Seti,Mountain,Far-Western,2074,2017,Severe,Anxiety,46,30,59,48,28.0,Up to 9 years of school,yes,29.70710581,81.14117632,old,3,1,6,3
2047,Bajhang,Seti,Mountain,Far-Western,2074,2017,Minor,Mental retardation,29,43,44,34,38.0,PhD/Doctorate,yes,29.70710581,81.14117632,old,1,5,2,3
2048,Bajhang,Seti,Mountain,Far-Western,2074,2017,Minor,Hysteria,39,50,22,20,69.0,Unknown,no,29.70710581,81.14117632,Middle-age,1,4,4,1
2049,Bajhang,Seti,Mountain,Far-Western,2074,2017,Severe,Alcoholism,29,48,35,48,29.0,"College degree, bachelor, master",no,29.70710581,81.14117632,Middle-age,3,0,0,1
2050,Bajhang,Seti,Mountain,Far-Western,2074,2017,Major,Epilepsy,26,34,20,47,13.0,"College degree, bachelor, master",no,29.70710581,81.14117632,Middle-age,0,3,0,1
2051,Achham,Seti,Hill,Far-Western,2074,2017,Minor,Depression,58,22,34,43,37.0,"College degree, bachelor, master",no,29.09181279,81.31707255,Middle-age,1,2,0,1
2052,Achham,Seti,Hill,Far-Western,2074,2017,Severe,Psychosis,60,48,37,38,70.0,"College degree, bachelor, master",no,29.09181279,81.31707255,Middle-age,3,6,0,1
2053,Achham,Seti,Hill,Far-Western,2074,2017,Severe,Anxiety,55,51,51,55,51.0,Up to 12 years of school,yes,29.09181279,81.31707255,old,3,1,5,3
2054,Achham,Seti,Hill,Far-Western,2074,2017,Major,Mental retardation,56,21,38,22,55.0,"College degree, bachelor, master",no,29.09181279,81.31707255,Middle-age,0,5,0,1
2055,Achham,Seti,Hill,Far-Western,2074,2017,Severe,Hysteria,30,18,22,42,6.0,"College degree, bachelor, master",no,29.09181279,81.31707255,Middle-age,3,4,0,1
2056,Achham,Seti,Hill,Far-Western,2074,2017,Minor,Alcoholism,31,33,53,43,21.0,"College degree, bachelor, master",yes,29.09181279,81.31707255,old,1,0,0,3
2057,Achham,Seti,Hill,Far-Western,2074,2017,Severe,Epilepsy,25,47,53,36,36.0,"College degree, bachelor, master",yes,29.09181279,81.31707255,old,3,3,0,3
2058,Doti,Seti,Hill,Far-Western,2074,2017,Major,Depression,25,20,35,28,17.0,"College degree, bachelor, master",no,29.17612357,80.88531019,Middle-age,0,2,0,1
2059,Doti,Seti,Hill,Far-Western,2074,2017,Minor,Psychosis,34,53,56,20,67.0,Unknown,yes,29.17612357,80.88531019,old,1,6,4,3
2060,Doti,Seti,Hill,Far-Western,2074,2017,Minor,Anxiety,24,29,39,30,23.0,"College degree, bachelor, master",no,29.17612357,80.88531019,Middle-age,1,1,0,1
2061,Doti,Seti,Hill,Far-Western,2074,2017,Minor,Mental retardation,21,33,20,19,35.0,"College degree, bachelor, master",no,29.17612357,80.88531019,Middle-age,1,5,0,1
2062,Doti,Seti,Hill,Far-Western,2074,2017,Major,Hysteria,27,25,28,40,12.0,"College degree, bachelor, master",no,29.17612357,80.88531019,Middle-age,0,4,0,1
2063,Doti,Seti,Hill,Far-Western,2074,2017,Minor,Alcoholism,60,42,19,55,47.0,"Some College, short continuing education or equivalent",no,29.17612357,80.88531019,young,1,0,3,1
2064,Doti,Seti,Hill,Far-Western,2074,2017,Major,Epilepsy,57,20,43,48,29.0,PhD/Doctorate,yes,29.17612357,80.88531019,old,0,3,2,3
2065,Kailali,Seti,Terai,Far-Western,2074,2017,Major,Depression,31,30,29,32,29.0,"College degree, bachelor, master",no,28.76091877,80.82634991,Middle-age,0,2,0,1
2066,Kailali,Seti,Terai,Far-Western,2074,2017,Major,Psychosis,40,21,60,25,36.0,Up to 9 years of school,yes,28.76091877,80.82634991,old,0,6,6,3
2067,Kailali,Seti,Terai,Far-Western,2074,2017,Minor,Anxiety,56,23,19,48,31.0,Unknown,no,28.76091877,80.82634991,young,1,1,4,1
2068,Kailali,Seti,Terai,Far-Western,2074,2017,Major,Mental retardation,49,21,52,22,48.0,"College degree, bachelor, master",yes,28.76091877,80.82634991,old,0,5,0,3
2069,Kailali,Seti,Terai,Far-Western,2074,2017,Normal,Hysteria,36,37,38,55,18.0,"College degree, bachelor, master",Unknown,28.76091877,80.82634991,Middle-age,2,4,0,0
2070,Kailali,Seti,Terai,Far-Western,2074,2017,Major,Alcoholism,20,19,22,39,0.0,"College degree, bachelor, master",no,28.76091877,80.82634991,Middle-age,0,0,0,1
2071,Kailali,Seti,Terai,Far-Western,2074,2017,Normal,Epilepsy,30,44,49,59,15.0,"College degree, bachelor, master",yes,28.76091877,80.82634991,old,2,3,0,3
2072,Kanchanpur,Mahakali,Terai,Far-Western,2074,2017,Minor,Depression,30,55,21,39,46.0,"College degree, bachelor, master",no,28.83479468,80.38209033,Middle-age,1,2,0,1
2073,Kanchanpur,Mahakali,Terai,Far-Western,2074,2017,Major,Psychosis,24,56,56,26,54.0,Up to 9 years of school,yes,28.83479468,80.38209033,old,0,6,6,3
2074,Kanchanpur,Mahakali,Terai,Far-Western,2074,2017,Minor,Anxiety,39,19,55,28,30.0,"College degree, bachelor, master",no,28.83479468,80.38209033,old,1,1,0,1
2075,Kanchanpur,Mahakali,Terai,Far-Western,2074,2017,Minor,Mental retardation,24,54,32,26,52.0,"College degree, bachelor, master",Unknown,28.83479468,80.38209033,Middle-age,1,5,0,0
2076,Kanchanpur,Mahakali,Terai,Far-Western,2074,2017,Normal,Hysteria,40,32,40,20,52.0,PhD/Doctorate,Unknown,28.83479468,80.38209033,old,2,4,2,0
2077,Kanchanpur,Mahakali,Terai,Far-Western,2074,2017,Severe,Alcoholism,47,26,45,18,55.0,PhD/Doctorate,no,28.83479468,80.38209033,old,3,0,2,1
2078,Kanchanpur,Mahakali,Terai,Far-Western,2074,2017,Normal,Epilepsy,35,60,18,3,92.0,Up to 12 years of school,no,28.83479468,80.38209033,young,2,3,5,1
2079,Dadeldhura,Mahakali,Hill,Far-Western,2074,2017,Major,Depression,58,52,47,50,60.0,PhD/Doctorate,no,29.22747472,80.48540118,old,0,2,2,1
2080,Dadeldhura,Mahakali,Hill,Far-Western,2074,2017,Major,Psychosis,42,29,55,31,40.0,Up to 9 years of school,no,29.22747472,80.48540118,old,0,6,6,1
2081,Dadeldhura,Mahakali,Hill,Far-Western,2074,2017,Major,Anxiety,57,31,22,43,45.0,"College degree, bachelor, master",yes,29.22747472,80.48540118,Middle-age,0,1,0,3
2082,Dadeldhura,Mahakali,Hill,Far-Western,2074,2017,Minor,Mental retardation,57,36,22,42,51.0,"College degree, bachelor, master",yes,29.22747472,80.48540118,Middle-age,1,5,0,3
2083,Dadeldhura,Mahakali,Hill,Far-Western,2074,2017,Normal,Hysteria,53,28,49,19,62.0,"College degree, bachelor, master",Unknown,29.22747472,80.48540118,old,2,4,0,0
2084,Dadeldhura,Mahakali,Hill,Far-Western,2074,2017,Major,Alcoholism,46,50,18,2,94.0,Up to 12 years of school,yes,29.22747472,80.48540118,young,0,0,5,3
2085,Dadeldhura,Mahakali,Hill,Far-Western,2074,2017,Severe,Epilepsy,29,57,35,24,62.0,"College degree, bachelor, master",Unknown,29.22747472,80.48540118,Middle-age,3,3,0,0
2086,Baitadi,Mahakali,Hill,Far-Western,2074,2017,Severe,Depression,47,59,46,51,55.0,PhD/Doctorate,Unknown,29.48338045,80.53566864,old,3,2,2,0
2087,Baitadi,Mahakali,Hill,Far-Western,2074,2017,Major,Psychosis,25,58,49,26,57.0,"College degree, bachelor, master",Unknown,29.48338045,80.53566864,old,0,6,0,0
2088,Baitadi,Mahakali,Hill,Far-Western,2074,2017,Severe,Anxiety,39,19,43,52,6.0,PhD/Doctorate,Unknown,29.48338045,80.53566864,old,3,1,2,0
2089,Baitadi,Mahakali,Hill,Far-Western,2074,2017,Severe,Mental retardation,29,32,51,32,29.0,Up to 9 years of school,Unknown,29.48338045,80.53566864,old,3,5,6,0
2090,Baitadi,Mahakali,Hill,Far-Western,2074,2017,Severe,Hysteria,18,25,33,20,23.0,"College degree, bachelor, master",Unknown,29.48338045,80.53566864,Middle-age,3,4,0,0
2091,Baitadi,Mahakali,Hill,Far-Western,2074,2017,Minor,Alcoholism,42,20,31,43,19.0,Unknown,Unknown,29.48338045,80.53566864,Middle-age,1,0,4,0
2092,Baitadi,Mahakali,Hill,Far-Western,2074,2017,Normal,Epilepsy,56,59,51,25,90.0,"College degree, bachelor, master",Unknown,29.48338045,80.53566864,old,2,3,0,0
2093,Darchula,Mahakali,Mountain,Far-Western,2074,2017,Normal,Depression,58,48,49,55,51.0,"College degree, bachelor, master",Unknown,29.89271094,80.74136106,old,2,2,0,0
2094,Darchula,Mahakali,Mountain,Far-Western,2074,2017,Minor,Psychosis,50,23,24,31,42.0,Unknown,yes,29.89271094,80.74136106,Middle-age,1,6,4,3
2095,Darchula,Mahakali,Mountain,Far-Western,2074,2017,Severe,Anxiety,60,37,38,48,49.0,"College degree, bachelor, master",Unknown,29.89271094,80.74136106,Middle-age,3,1,0,0
2096,Darchula,Mahakali,Mountain,Far-Western,2074,2017,Major,Mental retardation,49,40,21,51,38.0,"College degree, bachelor, master",yes,29.89271094,80.74136106,Middle-age,0,5,0,3
2097,Darchula,Mahakali,Mountain,Far-Western,2074,2017,Minor,Hysteria,54,44,22,51,47.0,"College degree, bachelor, master",yes,29.89271094,80.74136106,Middle-age,1,4,0,3
2098,Darchula,Mahakali,Mountain,Far-Western,2074,2017,Severe,Alcoholism,29,43,46,26,46.0,PhD/Doctorate,Unknown,29.89271094,80.74136106,old,3,0,2,0
2099,Darchula,Mahakali,Mountain,Far-Western,2074,2017,Normal,Epilepsy,19,51,39,40,30.0,"College degree, bachelor, master",Unknown,29.89271094,80.74136106,Middle-age,2,3,0,0
2100,Taplejung,Mechi,Mountain,Eastern,2075,2018,Severe,Depression,30,22,38,33,19.0,"College degree, bachelor, master",Unknown,27.61858869,87.85666093,Middle-age,3,2,0,0
2101,Taplejung,Mechi,Mountain,Eastern,2075,2018,Major,Psychosis,27,29,54,33,23.0,Up to 9 years of school,Unknown,27.61858869,87.85666093,old,0,6,6,0
2102,Taplejung,Mechi,Mountain,Eastern,2075,2018,Major,Anxiety,30,39,59,28,41.0,Up to 9 years of school,Unknown,27.61858869,87.85666093,old,0,1,6,0
2103,Taplejung,Mechi,Mountain,Eastern,2075,2018,Normal,Mental retardation,36,32,21,21,47.0,"College degree, bachelor, master",yes,27.61858869,87.85666093,Middle-age,2,5,0,3
2104,Taplejung,Mechi,Mountain,Eastern,2075,2018,Major,Hysteria,19,59,46,57,21.0,PhD/Doctorate,yes,27.61858869,87.85666093,old,0,4,2,3
2105,Taplejung,Mechi,Mountain,Eastern,2075,2018,Major,Alcoholism,55,21,59,31,45.0,Up to 9 years of school,yes,27.61858869,87.85666093,old,0,0,6,3
2106,Taplejung,Mechi,Mountain,Eastern,2075,2018,Major,Epilepsy,44,48,44,40,52.0,PhD/Doctorate,yes,27.61858869,87.85666093,old,0,3,2,3
2107,Panchthar,Mechi,Hill,Eastern,2075,2018,Severe,Depression,55,49,32,32,72.0,"College degree, bachelor, master",Unknown,27.05953098,87.82000369,Middle-age,3,2,0,0
2108,Panchthar,Mechi,Hill,Eastern,2075,2018,Normal,Psychosis,29,23,37,36,16.0,"College degree, bachelor, master",Unknown,27.05953098,87.82000369,Middle-age,2,6,0,0
2109,Panchthar,Mechi,Hill,Eastern,2075,2018,Minor,Anxiety,57,26,37,45,38.0,"College degree, bachelor, master",Unknown,27.05953098,87.82000369,Middle-age,1,1,0,0
2110,Panchthar,Mechi,Hill,Eastern,2075,2018,Minor,Mental retardation,25,36,43,30,31.0,PhD/Doctorate,yes,27.05953098,87.82000369,old,1,5,2,3
2111,Panchthar,Mechi,Hill,Eastern,2075,2018,Normal,Hysteria,27,29,29,55,1.0,"College degree, bachelor, master",Unknown,27.05953098,87.82000369,Middle-age,2,4,0,0
2112,Panchthar,Mechi,Hill,Eastern,2075,2018,Minor,Alcoholism,52,52,24,41,63.0,"College degree, bachelor, master",yes,27.05953098,87.82000369,Middle-age,1,0,0,3
2113,Panchthar,Mechi,Hill,Eastern,2075,2018,Severe,Epilepsy,25,24,35,23,26.0,"College degree, bachelor, master",no,27.05953098,87.82000369,Middle-age,3,3,0,1
2114,Ilam,Mechi,Hill,Eastern,2075,2018,Severe,Depression,23,59,59,45,37.0,"College degree, bachelor, master",yes,26.8560453,87.9452083,old,3,2,0,3
2115,Ilam,Mechi,Hill,Eastern,2075,2018,Severe,Psychosis,55,58,53,58,55.0,"College degree, bachelor, master",yes,26.8560453,87.9452083,old,3,6,0,3
2116,Ilam,Mechi,Hill,Eastern,2075,2018,Major,Anxiety,28,42,27,54,16.0,"College degree, bachelor, master",no,26.8560453,87.9452083,Middle-age,0,1,0,1
2117,Ilam,Mechi,Hill,Eastern,2075,2018,Normal,Mental retardation,52,32,41,46,38.0,PhD/Doctorate,yes,26.8560453,87.9452083,old,2,5,2,3
2118,Ilam,Mechi,Hill,Eastern,2075,2018,Severe,Hysteria,57,37,21,51,43.0,"College degree, bachelor, master",no,26.8560453,87.9452083,Middle-age,3,4,0,1
2119,Ilam,Mechi,Hill,Eastern,2075,2018,Normal,Alcoholism,47,31,37,60,18.0,"College degree, bachelor, master",no,26.8560453,87.9452083,Middle-age,2,0,0,1
2120,Ilam,Mechi,Hill,Eastern,2075,2018,Minor,Epilepsy,52,43,33,19,76.0,"College degree, bachelor, master",no,26.8560453,87.9452083,Middle-age,1,3,0,1
2121,Jhapa,Mechi,Terai,Eastern,2075,2018,Major,Depression,57,28,34,24,61.0,"College degree, bachelor, master",no,26.57197501,87.95532113,Middle-age,0,2,0,1
2122,Jhapa,Mechi,Terai,Eastern,2075,2018,Severe,Psychosis,35,20,43,41,14.0,PhD/Doctorate,yes,26.57197501,87.95532113,old,3,6,2,3
2123,Jhapa,Mechi,Terai,Eastern,2075,2018,Normal,Anxiety,28,55,22,22,61.0,"College degree, bachelor, master",no,26.57197501,87.95532113,Middle-age,2,1,0,1
2124,Jhapa,Mechi,Terai,Eastern,2075,2018,Normal,Mental retardation,21,35,43,25,31.0,PhD/Doctorate,yes,26.57197501,87.95532113,old,2,5,2,3
2125,Jhapa,Mechi,Terai,Eastern,2075,2018,Severe,Hysteria,44,55,22,48,51.0,"College degree, bachelor, master",no,26.57197501,87.95532113,Middle-age,3,4,0,1
2126,Jhapa,Mechi,Terai,Eastern,2075,2018,Major,Alcoholism,34,53,40,51,36.0,PhD/Doctorate,no,26.57197501,87.95532113,old,0,0,2,1
2127,Jhapa,Mechi,Terai,Eastern,2075,2018,Normal,Epilepsy,48,31,60,32,47.0,Up to 9 years of school,no,26.57197501,87.95532113,old,2,3,6,1
2128,Morang,Kosi,Terai,Eastern,2075,2018,Minor,Depression,60,46,54,51,55.0,"College degree, bachelor, master",no,26.58315547,87.45387395,old,1,2,0,1
2129,Morang,Kosi,Terai,Eastern,2075,2018,Normal,Psychosis,46,40,35,43,43.0,"College degree, bachelor, master",no,26.58315547,87.45387395,Middle-age,2,6,0,1
2130,Morang,Kosi,Terai,Eastern,2075,2018,Severe,Anxiety,35,57,30,24,68.0,"College degree, bachelor, master",no,26.58315547,87.45387395,Middle-age,3,1,0,1
2131,Morang,Kosi,Terai,Eastern,2075,2018,Major,Mental retardation,42,18,30,37,23.0,"College degree, bachelor, master",no,26.58315547,87.45387395,Middle-age,0,5,0,1
2132,Morang,Kosi,Terai,Eastern,2075,2018,Minor,Hysteria,47,31,55,40,38.0,Unknown,no,26.58315547,87.45387395,old,1,4,4,1
2133,Morang,Kosi,Terai,Eastern,2075,2018,Minor,Alcoholism,49,39,29,54,34.0,"College degree, bachelor, master",no,26.58315547,87.45387395,Middle-age,1,0,0,1
2134,Morang,Kosi,Terai,Eastern,2075,2018,Minor,Epilepsy,23,59,20,32,50.0,"College degree, bachelor, master",no,26.58315547,87.45387395,Middle-age,1,3,0,1
2135,Sunsari,Kosi,Terai,Eastern,2075,2018,Normal,Depression,30,53,55,45,38.0,"College degree, bachelor, master",no,26.68353642,87.1812749,old,2,2,0,1
2136,Sunsari,Kosi,Terai,Eastern,2075,2018,Minor,Psychosis,31,23,20,30,24.0,"College degree, bachelor, master",no,26.68353642,87.1812749,Middle-age,1,6,0,1
2137,Sunsari,Kosi,Terai,Eastern,2075,2018,Minor,Anxiety,28,42,53,40,30.0,"College degree, bachelor, master",no,26.68353642,87.1812749,old,1,1,0,1
2138,Sunsari,Kosi,Terai,Eastern,2075,2018,Minor,Mental retardation,57,43,37,23,77.0,"College degree, bachelor, master",no,26.68353642,87.1812749,Middle-age,1,5,0,1
2139,Sunsari,Kosi,Terai,Eastern,2075,2018,Minor,Hysteria,35,24,35,45,14.0,"College degree, bachelor, master",no,26.68353642,87.1812749,Middle-age,1,4,0,1
2140,Sunsari,Kosi,Terai,Eastern,2075,2018,Major,Alcoholism,57,57,31,41,73.0,"College degree, bachelor, master",no,26.68353642,87.1812749,Middle-age,0,0,0,1
2141,Sunsari,Kosi,Terai,Eastern,2075,2018,Major,Epilepsy,24,59,32,22,61.0,"College degree, bachelor, master",no,26.68353642,87.1812749,Middle-age,0,3,0,1
2142,Dhankuta,Kosi,Hill,Eastern,2075,2018,Minor,Depression,55,44,32,42,57.0,"College degree, bachelor, master",no,26.97426594,87.36675537,Middle-age,1,2,0,1
2143,Dhankuta,Kosi,Hill,Eastern,2075,2018,Major,Psychosis,47,44,60,42,49.0,Up to 9 years of school,no,26.97426594,87.36675537,old,0,6,6,1
2144,Dhankuta,Kosi,Hill,Eastern,2075,2018,Major,Anxiety,60,52,58,56,56.0,"College degree, bachelor, master",no,26.97426594,87.36675537,old,0,1,0,1
2145,Dhankuta,Kosi,Hill,Eastern,2075,2018,Normal,Mental retardation,35,45,58,35,45.0,Up to 12 years of school,no,26.97426594,87.36675537,old,2,5,5,1
2146,Dhankuta,Kosi,Hill,Eastern,2075,2018,Minor,Hysteria,56,26,43,33,49.0,PhD/Doctorate,yes,26.97426594,87.36675537,old,1,4,2,3
2147,Dhankuta,Kosi,Hill,Eastern,2075,2018,Severe,Alcoholism,21,52,20,20,53.0,"College degree, bachelor, master",no,26.97426594,87.36675537,Middle-age,3,0,0,1
2148,Dhankuta,Kosi,Hill,Eastern,2075,2018,Normal,Epilepsy,37,21,59,24,34.0,Up to 9 years of school,Unknown,26.97426594,87.36675537,old,2,3,6,0
2149,Teharthum,Kosi,Hill,Eastern,2075,2018,Major,Depression,43,53,42,55,41.0,PhD/Doctorate,Unknown,27.13350032,87.55401564,old,0,2,2,0
2150,Teharthum,Kosi,Hill,Eastern,2075,2018,Severe,Psychosis,32,20,23,28,24.0,"College degree, bachelor, master",no,27.13350032,87.55401564,Middle-age,3,6,0,1
2151,Teharthum,Kosi,Hill,Eastern,2075,2018,Severe,Anxiety,48,32,29,24,56.0,"College degree, bachelor, master",no,27.13350032,87.55401564,Middle-age,3,1,0,1
2152,Teharthum,Kosi,Hill,Eastern,2075,2018,Minor,Mental retardation,39,31,53,58,12.0,"College degree, bachelor, master",Unknown,27.13350032,87.55401564,old,1,5,0,0
2153,Teharthum,Kosi,Hill,Eastern,2075,2018,Severe,Hysteria,49,59,52,19,89.0,"College degree, bachelor, master",Unknown,27.13350032,87.55401564,old,3,4,0,0
2154,Teharthum,Kosi,Hill,Eastern,2075,2018,Severe,Alcoholism,30,42,39,29,43.0,"College degree, bachelor, master",no,27.13350032,87.55401564,Middle-age,3,0,0,1
2155,Teharthum,Kosi,Hill,Eastern,2075,2018,Normal,Epilepsy,48,42,20,52,38.0,"College degree, bachelor, master",no,27.13350032,87.55401564,Middle-age,2,3,0,1
2156,Sankhuwasabha,Kosi,Mountain,Eastern,2075,2018,Normal,Depression,21,28,27,27,22.0,"College degree, bachelor, master",no,27.52454419,87.29855621,Middle-age,2,2,0,1
2157,Sankhuwasabha,Kosi,Mountain,Eastern,2075,2018,Normal,Psychosis,57,35,49,39,53.0,Up to 9 years of school,Unknown,27.52454419,87.29855621,old,2,6,6,0
2158,Sankhuwasabha,Kosi,Mountain,Eastern,2075,2018,Major,Anxiety,25,40,33,40,25.0,"College degree, bachelor, master",no,27.52454419,87.29855621,Middle-age,0,1,0,1
2159,Sankhuwasabha,Kosi,Mountain,Eastern,2075,2018,Minor,Mental retardation,34,57,19,58,33.0,"Some College, short continuing education or equivalent",no,27.52454419,87.29855621,young,1,5,3,1
2160,Sankhuwasabha,Kosi,Mountain,Eastern,2075,2018,Minor,Hysteria,49,35,29,36,48.0,"College degree, bachelor, master",no,27.52454419,87.29855621,Middle-age,1,4,0,1
2161,Sankhuwasabha,Kosi,Mountain,Eastern,2075,2018,Severe,Alcoholism,30,23,29,38,15.0,"College degree, bachelor, master",no,27.52454419,87.29855621,Middle-age,3,0,0,1
2162,Sankhuwasabha,Kosi,Mountain,Eastern,2075,2018,Severe,Epilepsy,59,24,49,28,55.0,"College degree, bachelor, master",Unknown,27.52454419,87.29855621,old,3,3,0,0
2163,Bhojpur,Kosi,Hill,Eastern,2075,2018,Minor,Depression,26,47,54,44,29.0,"College degree, bachelor, master",Unknown,27.21832031,87.06666799,old,1,2,0,0
2164,Bhojpur,Kosi,Hill,Eastern,2075,2018,Minor,Psychosis,29,24,55,29,24.0,Up to 9 years of school,Unknown,27.21832031,87.06666799,old,1,6,6,0
2165,Bhojpur,Kosi,Hill,Eastern,2075,2018,Severe,Anxiety,41,32,52,35,38.0,"College degree, bachelor, master",Unknown,27.21832031,87.06666799,old,3,1,0,0
2166,Bhojpur,Kosi,Hill,Eastern,2075,2018,Severe,Mental retardation,25,31,56,29,27.0,Up to 9 years of school,Unknown,27.21832031,87.06666799,old,3,5,6,0
2167,Bhojpur,Kosi,Hill,Eastern,2075,2018,Major,Hysteria,20,38,50,24,34.0,"College degree, bachelor, master",yes,27.21832031,87.06666799,old,0,4,0,3
2168,Bhojpur,Kosi,Hill,Eastern,2075,2018,Severe,Alcoholism,55,19,47,29,45.0,PhD/Doctorate,yes,27.21832031,87.06666799,old,3,0,2,3
2169,Bhojpur,Kosi,Hill,Eastern,2075,2018,Major,Epilepsy,50,52,40,56,46.0,PhD/Doctorate,no,27.21832031,87.06666799,old,0,3,2,1
2170,Solukhumbu,Sagarmatha,Mountain,Eastern,2075,2018,Severe,Depression,26,52,31,31,47.0,"College degree, bachelor, master",no,27.75423434,86.69879175,Middle-age,3,2,0,1
2171,Solukhumbu,Sagarmatha,Mountain,Eastern,2075,2018,Minor,Psychosis,43,38,35,32,49.0,"College degree, bachelor, master",no,27.75423434,86.69879175,Middle-age,1,6,0,1
2172,Solukhumbu,Sagarmatha,Mountain,Eastern,2075,2018,Minor,Anxiety,45,18,31,40,23.0,"College degree, bachelor, master",no,27.75423434,86.69879175,Middle-age,1,1,0,1
2173,Solukhumbu,Sagarmatha,Mountain,Eastern,2075,2018,Minor,Mental retardation,46,51,42,35,62.0,PhD/Doctorate,no,27.75423434,86.69879175,old,1,5,2,1
2174,Solukhumbu,Sagarmatha,Mountain,Eastern,2075,2018,Severe,Hysteria,55,18,41,24,49.0,PhD/Doctorate,no,27.75423434,86.69879175,old,3,4,2,1
2175,Solukhumbu,Sagarmatha,Mountain,Eastern,2075,2018,Major,Alcoholism,53,38,31,19,72.0,"College degree, bachelor, master",no,27.75423434,86.69879175,Middle-age,0,0,0,1
2176,Solukhumbu,Sagarmatha,Mountain,Eastern,2075,2018,Normal,Epilepsy,26,33,24,53,6.0,"College degree, bachelor, master",yes,27.75423434,86.69879175,Middle-age,2,3,0,3
